,Groups & Sub-Groups,Weight %,Year,Index Value,YoY Change (%),3-Year MA
4,Alcoholic drinks,0.68,201,112.88,,112.88
12,Alcoholic drinks,0.68,201,126.14,11.746987951807242,119.50999999999999
20,Alcoholic drinks,0.68,201,135.78,7.642302203900431,124.93333333333334
28,Alcoholic drinks,0.68,201,150.56,10.885255560465467,137.49333333333334
3,Non-alcoholic drinks,1.24,201,104.71,,104.71
11,Non-alcoholic drinks,1.24,201,108.5,3.6195205806513364,106.60499999999999
19,Non-alcoholic drinks,1.24,201,111.71,2.9585253456221094,108.30666666666666
27,Non-alcoholic drinks,1.24,201,115.96,3.804493778533713,112.05666666666667
7,Non-food and Services,56.09,201,109.16,,109.16
15,Non-food and Services,56.09,201,116.27,6.513374862587029,112.715
23,Non-food and Services,56.09,201,122.38,5.255009890771478,115.93666666666667
31,Non-food and Services,56.09,201,129.55,5.858800457591129,122.73333333333335
0,Overall Index,100.0,201,109.92,,109.92
8,Overall Index,100.0,201,114.83,4.46688500727801,112.375
16,Overall Index,100.0,201,119.59,4.145258207785418,114.78000000000002
24,Overall Index,100.0,201,125.14,4.640856258884529,119.85333333333334
6,Restaurant and Hotel,2.92,201,109.32,,109.32
14,Restaurant and Hotel,2.92,201,117.08,7.098426637394817,113.19999999999999
22,Restaurant and Hotel,2.92,201,122.77,4.8599248377177995,116.38999999999999
30,Restaurant and Hotel,2.92,201,128.73,4.854606174146769,122.86
2,Spices,1.21,201,113.47,,113.47
10,Spices,1.21,201,119.93,5.693134749272932,116.7
18,Spices,1.21,201,114.02,-4.927874593512893,115.80666666666667
26,Spices,1.21,201,120.37,5.569198386248031,118.10666666666667
1,Sugar and Sugar products,1.74,201,107.26,,107.26
9,Sugar and Sugar products,1.74,201,123.16,14.823792653365642,115.21000000000001
17,Sugar and Sugar products,1.74,201,122.33,-0.6739201039298481,117.58333333333333
25,Sugar and Sugar products,1.74,201,118.24,-3.343415351916945,121.24333333333334
5,Tobacco products,0.41,201,107.6,,107.6
13,Tobacco products,0.41,201,111.55,3.671003717472132,109.57499999999999
21,Tobacco products,0.41,201,117.54,5.369789332138053,112.23
29,Tobacco products,0.41,201,129.78,10.41347626339968,119.62333333333333
