Year,FDI net inflow (Million US$),Remittance received (Million US$),Normalized FDI,Normalized Remittance,YoY FDI Change (%),YoY Remittance Change (%),3-Year MA FDI,3-Year MA Remittance
2011,94.02,4216.89,94020000.0,4216890000.0000005,,,,
2012,91.95,4792.51,91950000.0,4792510000.0,-2.2016592214422426,13.650344211018052,,
2013,74.18,5583.7,74180000.0,5583700000.0,-19.325720500271892,16.5088857404575,86716666.66666667,4864366666.666667
2014,30.4,5888.65,30400000.0,5888650000.0,-59.01860339714209,5.461432383544951,65510000.0,5421620000.0
2015,51.9,6729.94,51900000.0,6729940000.0,70.7236842105263,14.286636155995014,52160000.0,6067430000.0
2016,106.0,6611.84,106000000.0,6611840000.0,104.23892100192677,-1.7548447683040314,62766666.666666664,6410143333.333333
2017,196.27,6928.13,196270000.0,6928130000.0,85.16037735849056,4.783691075404128,118056666.66666667,6756636666.666667
2018,68.26,8286.63,68260000.0,8286629999.999999,-65.2213787129974,19.608465776479346,123510000.0,7275533333.333333
2019,185.56,8244.47,185560000.0,8244469999.999999,171.84295341341928,-0.5087713581998998,150030000.0,7819743333.333333
2020,126.63,8107.74,126630000.0,8107740000.0,-31.757921965940938,-1.6584449940384216,126816666.66666667,8212946666.666667
2021,196.33,8203.26,196330000.0,8203260000.0,55.04224907209982,1.1781334872603244,169506666.66666666,8185156666.666667
