Trade,Last,Previous,Highest,Lowest,Amount,Date,Normalized Last,Normalized Previous,Normalized Highest,Normalized Lowest
Balance of Trade,-137802.0,-135752.0,-3913.0,-167318.0,NPR Million,2024-Jan,-137802000000.0,-135752000000.0,-3913000000.0,-167318000000.0
Current Account,221339.0,179481.0,221339.0,-623325.0,NPR Million,2024-March,221339000000.0,179481000000.0,221339000000.0,-623325000000.0
Current Account to GDP,-1.5,-12.7,5.4,-12.7,percent of GDP,2023-December,-0.015,-0.127,0.054000000000000006,-0.127
Exports,28416.0,25129.0,44610.0,-322.0,NPR Million,2025-Jan,28416000000.0,25129000000.0,44610000000.0,-322000000.0
Imports,166218.0,160882.0,299677.0,8000.0,NPR Million,2025-Jan,166218000000.0,160882000000.0,299677000000.0,8000000000.0
Gold Reserves,7.99,7.99,7.99,0.0,Tonnes,2024-June,7990.0,7990.0,7990.0,0.0
Tourist Arrivals,1014876.0,614148.0,1197191.0,9388.0,Persons,2023-December,1014876.0,614148.0,1197191.0,9388.0
Foreign Direct Investment,5961.0,18560.0,19513.0,-470.0,NPR Million,2023-December,5961000000.0,18560000000.0,19513000000.0,-470000000.0
Terms of Trade,106.0,108.0,164.0,90.5,points,2025-February,106.0,108.0,164.0,90.5
Terrorism Index,1.11,2.16,6.86,1.11,Points,2024-December,1.11,2.16,6.86,1.11
